successful_detection,attacked_mode,attack_ratio,date,attacked_feature
0,ROPA,0.167,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.167,2025-01-29,air_quality_gb-defra-index
0,ROPA,0.204,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.204,2025-01-29,air_quality_gb-defra-index
0,ROPA,0.222,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.222,2025-01-29,air_quality_gb-defra-index
0,ROPA,0.259,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.259,2025-01-29,air_quality_gb-defra-index
0,ROPA,0.296,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.296,2025-01-29,air_quality_gb-defra-index
0,ROPA,0.315,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.315,2025-01-29,air_quality_gb-defra-index
0,ROPA,0.352,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.352,2025-01-29,air_quality_gb-defra-index
0,ROPA,0.389,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.389,2025-01-29,air_quality_gb-defra-index
0,ROPA,0.407,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.407,2025-01-29,air_quality_gb-defra-index
0,ROPA,0.444,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.444,2025-01-29,air_quality_gb-defra-index
0,ROPA,0.463,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.463,2025-01-29,air_quality_gb-defra-index
0,ROPA,0.5,2024-12-28,air_quality_gb-defra-index
0,ROPA,0.5,2025-01-29,air_quality_gb-defra-index
1,DIPA,0.019,2024-12-28,humidity
1,DIPA,0.019,2025-01-29,humidity
1,DIPA,0.056,2024-12-28,humidity
1,DIPA,0.056,2025-01-29,humidity
1,DIPA,0.074,2024-12-28,humidity
1,DIPA,0.074,2025-01-29,humidity
1,DIPA,0.111,2024-12-28,humidity
1,DIPA,0.111,2025-01-29,humidity
1,DIPA,0.148,2024-12-28,humidity
1,DIPA,0.148,2025-01-29,humidity
1,DIPA,0.167,2024-12-28,humidity
1,DIPA,0.167,2025-01-29,humidity
1,DIPA,0.204,2024-12-28,humidity
1,DIPA,0.204,2025-01-29,humidity
1,DIPA,0.222,2024-12-28,humidity
1,DIPA,0.222,2025-01-29,humidity
1,DIPA,0.259,2024-12-28,humidity
1,DIPA,0.259,2025-01-29,humidity
1,DIPA,0.296,2024-12-28,humidity
1,DIPA,0.296,2025-01-29,humidity
1,DIPA,0.315,2024-12-28,humidity
1,DIPA,0.315,2025-01-29,humidity
1,DIPA,0.352,2024-12-28,humidity
1,DIPA,0.352,2025-01-29,humidity
1,DIPA,0.389,2024-12-28,humidity
1,DIPA,0.389,2025-01-29,humidity
1,DIPA,0.407,2024-12-28,humidity
1,DIPA,0.407,2025-01-29,humidity
1,DIPA,0.444,2024-12-28,humidity
1,DIPA,0.444,2025-01-29,humidity
1,DIPA,0.463,2024-12-28,humidity
1,DIPA,0.463,2025-01-29,humidity
1,DIPA,0.5,2024-12-28,humidity
1,DIPA,0.5,2025-01-29,humidity
1,DPPA,0.019,2024-12-28,humidity
1,DPPA,0.019,2025-01-29,humidity
1,DPPA,0.056,2024-12-28,humidity
1,DPPA,0.056,2025-01-29,humidity
0,DPPA,0.074,2024-12-28,humidity
1,DPPA,0.074,2025-01-29,humidity
1,DPPA,0.111,2024-12-28,humidity
1,DPPA,0.111,2025-01-29,humidity
1,DPPA,0.148,2024-12-28,humidity
1,DPPA,0.148,2025-01-29,humidity
0,DPPA,0.167,2024-12-28,humidity
1,DPPA,0.167,2025-01-29,humidity
1,DPPA,0.204,2024-12-28,humidity
1,DPPA,0.204,2025-01-29,humidity
1,DPPA,0.222,2024-12-28,humidity
1,DPPA,0.222,2025-01-29,humidity
1,DPPA,0.259,2024-12-28,humidity
1,DPPA,0.259,2025-01-29,humidity
0,DPPA,0.296,2024-12-28,humidity
0,DPPA,0.296,2025-01-29,humidity
1,DPPA,0.315,2024-12-28,humidity
1,DPPA,0.315,2025-01-29,humidity
1,DPPA,0.352,2024-12-28,humidity
1,DPPA,0.352,2025-01-29,humidity
1,DPPA,0.389,2024-12-28,humidity
1,DPPA,0.389,2025-01-29,humidity
1,DPPA,0.407,2024-12-28,humidity
0,DPPA,0.407,2025-01-29,humidity
1,DPPA,0.444,2024-12-28,humidity
1,DPPA,0.444,2025-01-29,humidity
1,DPPA,0.463,2024-12-28,humidity
1,DPPA,0.463,2025-01-29,humidity
1,DPPA,0.5,2024-12-28,humidity
1,DPPA,0.5,2025-01-29,humidity
1,ROPA,0.019,2024-12-28,humidity
0,ROPA,0.019,2025-01-29,humidity
1,ROPA,0.056,2024-12-28,humidity
0,ROPA,0.056,2025-01-29,humidity
1,ROPA,0.074,2024-12-28,humidity
0,ROPA,0.074,2025-01-29,humidity
0,ROPA,0.111,2024-12-28,humidity
0,ROPA,0.111,2025-01-29,humidity
0,ROPA,0.148,2024-12-28,humidity
0,ROPA,0.148,2025-01-29,humidity
1,ROPA,0.167,2024-12-28,humidity
0,ROPA,0.167,2025-01-29,humidity
1,ROPA,0.204,2024-12-28,humidity
0,ROPA,0.204,2025-01-29,humidity
0,ROPA,0.222,2024-12-28,humidity
0,ROPA,0.222,2025-01-29,humidity
0,ROPA,0.259,2024-12-28,humidity
0,ROPA,0.259,2025-01-29,humidity
0,ROPA,0.296,2024-12-28,humidity
0,ROPA,0.296,2025-01-29,humidity
1,ROPA,0.315,2024-12-28,humidity
0,ROPA,0.315,2025-01-29,humidity
1,ROPA,0.352,2024-12-28,humidity
0,ROPA,0.352,2025-01-29,humidity
1,ROPA,0.389,2024-12-28,humidity
0,ROPA,0.389,2025-01-29,humidity
1,ROPA,0.407,2024-12-28,humidity
0,ROPA,0.407,2025-01-29,humidity
0,ROPA,0.444,2024-12-28,humidity
1,ROPA,0.444,2025-01-29,humidity
0,ROPA,0.463,2024-12-28,humidity
1,ROPA,0.463,2025-01-29,humidity
1,ROPA,0.5,2024-12-28,humidity
1,ROPA,0.5,2025-01-29,humidity
1,DIPA,0.019,2024-12-28,air_quality_us-epa-index
0,DIPA,0.019,2025-01-29,air_quality_us-epa-index
1,DIPA,0.056,2024-12-28,air_quality_us-epa-index
0,DIPA,0.056,2025-01-29,air_quality_us-epa-index
1,DIPA,0.074,2024-12-28,air_quality_us-epa-index
0,DIPA,0.074,2025-01-29,air_quality_us-epa-index
1,DIPA,0.111,2024-12-28,air_quality_us-epa-index
0,DIPA,0.111,2025-01-29,air_quality_us-epa-index
1,DIPA,0.148,2024-12-28,air_quality_us-epa-index
0,DIPA,0.148,2025-01-29,air_quality_us-epa-index
1,DIPA,0.167,2024-12-28,air_quality_us-epa-index
0,DIPA,0.167,2025-01-29,air_quality_us-epa-index
1,DIPA,0.204,2024-12-28,air_quality_us-epa-index
0,DIPA,0.204,2025-01-29,air_quality_us-epa-index
1,DIPA,0.222,2024-12-28,air_quality_us-epa-index
0,DIPA,0.222,2025-01-29,air_quality_us-epa-index
1,DIPA,0.259,2024-12-28,air_quality_us-epa-index
0,DIPA,0.259,2025-01-29,air_quality_us-epa-index
1,DIPA,0.296,2024-12-28,air_quality_us-epa-index
0,DIPA,0.296,2025-01-29,air_quality_us-epa-index
1,DIPA,0.315,2024-12-28,air_quality_us-epa-index
0,DIPA,0.315,2025-01-29,air_quality_us-epa-index
1,DIPA,0.352,2024-12-28,air_quality_us-epa-index
0,DIPA,0.352,2025-01-29,air_quality_us-epa-index
1,DIPA,0.389,2024-12-28,air_quality_us-epa-index
0,DIPA,0.389,2025-01-29,air_quality_us-epa-index
1,DIPA,0.407,2024-12-28,air_quality_us-epa-index
0,DIPA,0.407,2025-01-29,air_quality_us-epa-index
1,DIPA,0.444,2024-12-28,air_quality_us-epa-index
0,DIPA,0.444,2025-01-29,air_quality_us-epa-index
1,DIPA,0.463,2024-12-28,air_quality_us-epa-index
0,DIPA,0.463,2025-01-29,air_quality_us-epa-index
1,DIPA,0.5,2024-12-28,air_quality_us-epa-index
0,DIPA,0.5,2025-01-29,air_quality_us-epa-index
1,DPPA,0.019,2024-12-28,air_quality_us-epa-index
0,DPPA,0.019,2025-01-29,air_quality_us-epa-index
1,DPPA,0.056,2024-12-28,air_quality_us-epa-index
0,DPPA,0.056,2025-01-29,air_quality_us-epa-index
1,DPPA,0.074,2024-12-28,air_quality_us-epa-index
0,DPPA,0.074,2025-01-29,air_quality_us-epa-index
1,DPPA,0.111,2024-12-28,air_quality_us-epa-index
0,DPPA,0.111,2025-01-29,air_quality_us-epa-index
1,DPPA,0.148,2024-12-28,air_quality_us-epa-index
0,DPPA,0.148,2025-01-29,air_quality_us-epa-index
1,DPPA,0.167,2024-12-28,air_quality_us-epa-index
0,DPPA,0.167,2025-01-29,air_quality_us-epa-index
1,DPPA,0.204,2024-12-28,air_quality_us-epa-index
0,DPPA,0.204,2025-01-29,air_quality_us-epa-index
1,DPPA,0.222,2024-12-28,air_quality_us-epa-index
0,DPPA,0.222,2025-01-29,air_quality_us-epa-index
1,DPPA,0.259,2024-12-28,air_quality_us-epa-index
0,DPPA,0.259,2025-01-29,air_quality_us-epa-index
1,DPPA,0.296,2024-12-28,air_quality_us-epa-index
0,DPPA,0.296,2025-01-29,air_quality_us-epa-index
1,DPPA,0.315,2024-12-28,air_quality_us-epa-index
0,DPPA,0.315,2025-01-29,air_quality_us-epa-index
1,DPPA,0.352,2024-12-28,air_quality_us-epa-index
0,DPPA,0.352,2025-01-29,air_quality_us-epa-index
1,DPPA,0.389,2024-12-28,air_quality_us-epa-index
0,DPPA,0.389,2025-01-29,air_quality_us-epa-index
1,DPPA,0.407,2024-12-28,air_quality_us-epa-index
0,DPPA,0.407,2025-01-29,air_quality_us-epa-index
0,DPPA,0.444,2024-12-28,air_quality_us-epa-index
0,DPPA,0.444,2025-01-29,air_quality_us-epa-index
1,DPPA,0.463,2024-12-28,air_quality_us-epa-index
0,DPPA,0.463,2025-01-29,air_quality_us-epa-index
1,DPPA,0.5,2024-12-28,air_quality_us-epa-index
0,DPPA,0.5,2025-01-29,air_quality_us-epa-index
1,ROPA,0.019,2024-12-28,air_quality_us-epa-index
0,ROPA,0.019,2025-01-29,air_quality_us-epa-index
1,ROPA,0.056,2024-12-28,air_quality_us-epa-index
0,ROPA,0.056,2025-01-29,air_quality_us-epa-index
1,ROPA,0.074,2024-12-28,air_quality_us-epa-index
0,ROPA,0.074,2025-01-29,air_quality_us-epa-index
1,ROPA,0.111,2024-12-28,air_quality_us-epa-index
0,ROPA,0.111,2025-01-29,air_quality_us-epa-index
1,ROPA,0.148,2024-12-28,air_quality_us-epa-index
0,ROPA,0.148,2025-01-29,air_quality_us-epa-index
1,ROPA,0.167,2024-12-28,air_quality_us-epa-index
0,ROPA,0.167,2025-01-29,air_quality_us-epa-index
1,ROPA,0.204,2024-12-28,air_quality_us-epa-index
0,ROPA,0.204,2025-01-29,air_quality_us-epa-index
1,ROPA,0.222,2024-12-28,air_quality_us-epa-index
0,ROPA,0.222,2025-01-29,air_quality_us-epa-index
1,ROPA,0.259,2024-12-28,air_quality_us-epa-index
0,ROPA,0.259,2025-01-29,air_quality_us-epa-index
1,ROPA,0.296,2024-12-28,air_quality_us-epa-index
0,ROPA,0.296,2025-01-29,air_quality_us-epa-index
1,ROPA,0.315,2024-12-28,air_quality_us-epa-index
0,ROPA,0.315,2025-01-29,air_quality_us-epa-index
1,ROPA,0.352,2024-12-28,air_quality_us-epa-index
0,ROPA,0.352,2025-01-29,air_quality_us-epa-index
1,ROPA,0.389,2024-12-28,air_quality_us-epa-index
0,ROPA,0.389,2025-01-29,air_quality_us-epa-index
1,ROPA,0.407,2024-12-28,air_quality_us-epa-index
0,ROPA,0.407,2025-01-29,air_quality_us-epa-index
1,ROPA,0.444,2024-12-28,air_quality_us-epa-index
0,ROPA,0.444,2025-01-29,air_quality_us-epa-index
1,ROPA,0.463,2024-12-28,air_quality_us-epa-index
0,ROPA,0.463,2025-01-29,air_quality_us-epa-index
1,ROPA,0.5,2024-12-28,air_quality_us-epa-index
0,ROPA,0.5,2025-01-29,air_quality_us-epa-index
0,DIPA,0.019,2024-12-28,pressure_mb
0,DIPA,0.019,2025-01-29,pressure_mb
0,DIPA,0.056,2024-12-28,pressure_mb
0,DIPA,0.056,2025-01-29,pressure_mb
0,DIPA,0.074,2024-12-28,pressure_mb
0,DIPA,0.074,2025-01-29,pressure_mb
1,DIPA,0.111,2024-12-28,pressure_mb
0,DIPA,0.111,2025-01-29,pressure_mb
0,DIPA,0.148,2024-12-28,pressure_mb
0,DIPA,0.148,2025-01-29,pressure_mb
1,DIPA,0.167,2024-12-28,pressure_mb
0,DIPA,0.167,2025-01-29,pressure_mb
1,DIPA,0.204,2024-12-28,pressure_mb
0,DIPA,0.204,2025-01-29,pressure_mb
1,DIPA,0.222,2024-12-28,pressure_mb
0,DIPA,0.222,2025-01-29,pressure_mb
1,DIPA,0.259,2024-12-28,pressure_mb
0,DIPA,0.259,2025-01-29,pressure_mb
1,DIPA,0.296,2024-12-28,pressure_mb
0,DIPA,0.296,2025-01-29,pressure_mb
1,DIPA,0.315,2024-12-28,pressure_mb
0,DIPA,0.315,2025-01-29,pressure_mb
1,DIPA,0.352,2024-12-28,pressure_mb
0,DIPA,0.352,2025-01-29,pressure_mb
1,DIPA,0.389,2024-12-28,pressure_mb
0,DIPA,0.389,2025-01-29,pressure_mb
1,DIPA,0.407,2024-12-28,pressure_mb
0,DIPA,0.407,2025-01-29,pressure_mb
1,DIPA,0.444,2024-12-28,pressure_mb
1,DIPA,0.444,2025-01-29,pressure_mb
1,DIPA,0.463,2024-12-28,pressure_mb
0,DIPA,0.463,2025-01-29,pressure_mb
1,DIPA,0.5,2024-12-28,pressure_mb
1,DIPA,0.5,2025-01-29,pressure_mb
0,DPPA,0.019,2024-12-28,pressure_mb
0,DPPA,0.019,2025-01-29,pressure_mb
1,DPPA,0.056,2024-12-28,pressure_mb
0,DPPA,0.056,2025-01-29,pressure_mb
0,DPPA,0.074,2024-12-28,pressure_mb
0,DPPA,0.074,2025-01-29,pressure_mb
0,DPPA,0.111,2024-12-28,pressure_mb
0,DPPA,0.111,2025-01-29,pressure_mb
0,DPPA,0.148,2024-12-28,pressure_mb
0,DPPA,0.148,2025-01-29,pressure_mb
0,DPPA,0.167,2024-12-28,pressure_mb
1,DPPA,0.167,2025-01-29,pressure_mb
1,DPPA,0.204,2024-12-28,pressure_mb
0,DPPA,0.204,2025-01-29,pressure_mb
0,DPPA,0.222,2024-12-28,pressure_mb
0,DPPA,0.222,2025-01-29,pressure_mb
1,DPPA,0.259,2024-12-28,pressure_mb
0,DPPA,0.259,2025-01-29,pressure_mb
0,DPPA,0.296,2024-12-28,pressure_mb
0,DPPA,0.296,2025-01-29,pressure_mb
1,DPPA,0.315,2024-12-28,pressure_mb
0,DPPA,0.315,2025-01-29,pressure_mb
1,DPPA,0.352,2024-12-28,pressure_mb
0,DPPA,0.352,2025-01-29,pressure_mb
1,DPPA,0.389,2024-12-28,pressure_mb
1,DPPA,0.389,2025-01-29,pressure_mb
1,DPPA,0.407,2024-12-28,pressure_mb
0,DPPA,0.407,2025-01-29,pressure_mb
1,DPPA,0.444,2024-12-28,pressure_mb
0,DPPA,0.444,2025-01-29,pressure_mb
0,DPPA,0.463,2024-12-28,pressure_mb
1,DPPA,0.463,2025-01-29,pressure_mb
0,DPPA,0.5,2024-12-28,pressure_mb
1,DPPA,0.5,2025-01-29,pressure_mb
1,ROPA,0.019,2024-12-28,pressure_mb
0,ROPA,0.019,2025-01-29,pressure_mb
1,ROPA,0.056,2024-12-28,pressure_mb
0,ROPA,0.056,2025-01-29,pressure_mb
1,ROPA,0.074,2024-12-28,pressure_mb
0,ROPA,0.074,2025-01-29,pressure_mb
1,ROPA,0.111,2024-12-28,pressure_mb
0,ROPA,0.111,2025-01-29,pressure_mb
1,ROPA,0.148,2024-12-28,pressure_mb
0,ROPA,0.148,2025-01-29,pressure_mb
1,ROPA,0.167,2024-12-28,pressure_mb
0,ROPA,0.167,2025-01-29,pressure_mb
1,ROPA,0.204,2024-12-28,pressure_mb
0,ROPA,0.204,2025-01-29,pressure_mb
1,ROPA,0.222,2024-12-28,pressure_mb
0,ROPA,0.222,2025-01-29,pressure_mb
1,ROPA,0.259,2024-12-28,pressure_mb
0,ROPA,0.259,2025-01-29,pressure_mb
1,ROPA,0.296,2024-12-28,pressure_mb
0,ROPA,0.296,2025-01-29,pressure_mb
1,ROPA,0.315,2024-12-28,pressure_mb
0,ROPA,0.315,2025-01-29,pressure_mb
1,ROPA,0.352,2024-12-28,pressure_mb
0,ROPA,0.352,2025-01-29,pressure_mb
1,ROPA,0.389,2024-12-28,pressure_mb
0,ROPA,0.389,2025-01-29,pressure_mb
1,ROPA,0.407,2024-12-28,pressure_mb
0,ROPA,0.407,2025-01-29,pressure_mb
1,ROPA,0.444,2024-12-28,pressure_mb
0,ROPA,0.444,2025-01-29,pressure_mb
1,ROPA,0.463,2024-12-28,pressure_mb
0,ROPA,0.463,2025-01-29,pressure_mb
1,ROPA,0.5,2024-12-28,pressure_mb
0,ROPA,0.5,2025-01-29,pressure_mb
0,DIPA,0.019,2024-12-28,air_quality_Ozone
0,DIPA,0.019,2025-01-29,air_quality_Ozone
0,DIPA,0.056,2024-12-28,air_quality_Ozone
0,DIPA,0.056,2025-01-29,air_quality_Ozone
0,DIPA,0.074,2024-12-28,air_quality_Ozone
0,DIPA,0.074,2025-01-29,air_quality_Ozone
0,DIPA,0.111,2024-12-28,air_quality_Ozone
0,DIPA,0.111,2025-01-29,air_quality_Ozone
1,DIPA,0.148,2024-12-28,air_quality_Ozone
0,DIPA,0.148,2025-01-29,air_quality_Ozone
1,DIPA,0.167,2024-12-28,air_quality_Ozone
0,DIPA,0.167,2025-01-29,air_quality_Ozone
0,DIPA,0.204,2024-12-28,air_quality_Ozone
0,DIPA,0.204,2025-01-29,air_quality_Ozone
1,DIPA,0.222,2024-12-28,air_quality_Ozone
0,DIPA,0.222,2025-01-29,air_quality_Ozone
1,DIPA,0.259,2024-12-28,air_quality_Ozone
0,DIPA,0.259,2025-01-29,air_quality_Ozone
0,DIPA,0.296,2024-12-28,air_quality_Ozone
0,DIPA,0.296,2025-01-29,air_quality_Ozone
1,DIPA,0.315,2024-12-28,air_quality_Ozone
0,DIPA,0.315,2025-01-29,air_quality_Ozone
1,DIPA,0.352,2024-12-28,air_quality_Ozone
0,DIPA,0.352,2025-01-29,air_quality_Ozone
1,DIPA,0.389,2024-12-28,air_quality_Ozone
0,DIPA,0.389,2025-01-29,air_quality_Ozone
1,DIPA,0.407,2024-12-28,air_quality_Ozone
0,DIPA,0.407,2025-01-29,air_quality_Ozone
1,DIPA,0.444,2024-12-28,air_quality_Ozone
0,DIPA,0.444,2025-01-29,air_quality_Ozone
1,DIPA,0.463,2024-12-28,air_quality_Ozone
0,DIPA,0.463,2025-01-29,air_quality_Ozone
1,DIPA,0.5,2024-12-28,air_quality_Ozone
0,DIPA,0.5,2025-01-29,air_quality_Ozone
0,DPPA,0.019,2024-12-28,air_quality_Ozone
0,DPPA,0.019,2025-01-29,air_quality_Ozone
0,DPPA,0.056,2024-12-28,air_quality_Ozone
0,DPPA,0.056,2025-01-29,air_quality_Ozone
0,DPPA,0.074,2024-12-28,air_quality_Ozone
0,DPPA,0.074,2025-01-29,air_quality_Ozone
1,DPPA,0.111,2024-12-28,air_quality_Ozone
0,DPPA,0.111,2025-01-29,air_quality_Ozone
1,DPPA,0.148,2024-12-28,air_quality_Ozone
0,DPPA,0.148,2025-01-29,air_quality_Ozone
0,DPPA,0.167,2024-12-28,air_quality_Ozone
0,DPPA,0.167,2025-01-29,air_quality_Ozone
1,DPPA,0.204,2024-12-28,air_quality_Ozone
0,DPPA,0.204,2025-01-29,air_quality_Ozone
1,DPPA,0.222,2024-12-28,air_quality_Ozone
1,DPPA,0.222,2025-01-29,air_quality_Ozone
1,DPPA,0.259,2024-12-28,air_quality_Ozone
0,DPPA,0.259,2025-01-29,air_quality_Ozone
1,DPPA,0.296,2024-12-28,air_quality_Ozone
0,DPPA,0.296,2025-01-29,air_quality_Ozone
1,DPPA,0.315,2024-12-28,air_quality_Ozone
1,DPPA,0.315,2025-01-29,air_quality_Ozone
0,DPPA,0.352,2024-12-28,air_quality_Ozone
0,DPPA,0.352,2025-01-29,air_quality_Ozone
1,DPPA,0.389,2024-12-28,air_quality_Ozone
1,DPPA,0.389,2025-01-29,air_quality_Ozone
1,DPPA,0.407,2024-12-28,air_quality_Ozone
0,DPPA,0.407,2025-01-29,air_quality_Ozone
1,DPPA,0.444,2024-12-28,air_quality_Ozone
0,DPPA,0.444,2025-01-29,air_quality_Ozone
1,DPPA,0.463,2024-12-28,air_quality_Ozone
0,DPPA,0.463,2025-01-29,air_quality_Ozone
1,DPPA,0.5,2024-12-28,air_quality_Ozone
1,DPPA,0.5,2025-01-29,air_quality_Ozone
0,ROPA,0.019,2024-12-28,air_quality_Ozone
0,ROPA,0.019,2025-01-29,air_quality_Ozone
0,ROPA,0.056,2024-12-28,air_quality_Ozone
0,ROPA,0.056,2025-01-29,air_quality_Ozone
0,ROPA,0.074,2024-12-28,air_quality_Ozone
0,ROPA,0.074,2025-01-29,air_quality_Ozone
0,ROPA,0.111,2024-12-28,air_quality_Ozone
1,ROPA,0.111,2025-01-29,air_quality_Ozone
0,ROPA,0.148,2024-12-28,air_quality_Ozone
0,ROPA,0.148,2025-01-29,air_quality_Ozone
1,ROPA,0.167,2024-12-28,air_quality_Ozone
1,ROPA,0.167,2025-01-29,air_quality_Ozone
1,ROPA,0.204,2024-12-28,air_quality_Ozone
0,ROPA,0.204,2025-01-29,air_quality_Ozone
1,ROPA,0.222,2024-12-28,air_quality_Ozone
1,ROPA,0.222,2025-01-29,air_quality_Ozone
1,ROPA,0.259,2024-12-28,air_quality_Ozone
1,ROPA,0.259,2025-01-29,air_quality_Ozone
1,ROPA,0.296,2024-12-28,air_quality_Ozone
1,ROPA,0.296,2025-01-29,air_quality_Ozone
0,ROPA,0.315,2024-12-28,air_quality_Ozone
1,ROPA,0.315,2025-01-29,air_quality_Ozone
0,ROPA,0.352,2024-12-28,air_quality_Ozone
1,ROPA,0.352,2025-01-29,air_quality_Ozone
1,ROPA,0.389,2024-12-28,air_quality_Ozone
1,ROPA,0.389,2025-01-29,air_quality_Ozone
0,ROPA,0.407,2024-12-28,air_quality_Ozone
1,ROPA,0.407,2025-01-29,air_quality_Ozone
0,ROPA,0.444,2024-12-28,air_quality_Ozone
1,ROPA,0.444,2025-01-29,air_quality_Ozone
1,ROPA,0.463,2024-12-28,air_quality_Ozone
1,ROPA,0.463,2025-01-29,air_quality_Ozone
1,ROPA,0.5,2024-12-28,air_quality_Ozone
1,ROPA,0.5,2025-01-29,air_quality_Ozone
0,DIPA,0.019,2024-12-28,gust_kph
0,DIPA,0.019,2025-01-29,gust_kph
